FID,tile,Mg_CO2e_ha,Mg_CO2e_px,ObjectId,Shape__Are,Shape__Len
35,10N_090W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_090W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_090W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,36,1245542622548.870100000000000,4464169.765581389900000
36,10N_100E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_100E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_100E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,37,1245542622548.870100000000000,4464169.765581389900000
37,10N_100W,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_100W&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_100W_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,38,1245542622548.870100000000000,4464169.765581389900000
38,10N_110E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_110E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_110E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,39,1245542622548.870100000000000,4464169.765581389900000
39,10N_120E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_120E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_120E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,40,1245542622548.870100000000000,4464169.765581389900000
40,10N_130E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_130E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_130E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,41,1245542622548.870100000000000,4464169.765581389900000
41,10N_150E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_150E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_150E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,42,1245542622548.870100000000000,4464169.765581389900000
42,10N_160E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10N_160E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10N_160E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,43,1245542622548.870100000000000,4464169.765581389900000
43,10S_010E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_010E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_010E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,44,1284783830947.450000000000000,4534671.720124930100000
44,10S_020E,https://data-api.globalforestwatch.org/dataset/gfw_forest_carbon_net_flux/v20210331/download/geotiff?grid=10/40000&tile_id=10S_020E&pixel_meaning=Mg_CO2e_ha,https://gfw-data-lake.s3.amazonaws.com/gfw_forest_carbon_net_flux/v20210331/raw/per_pixel/10S_020E_net_flux_Mg_CO2e_pixel_biomass_soil_forest_extent_2001_20.tif,45,1284783830947.450000000000000,4534671.720124930100000
